word,frequency,class
abduction , 0 , 3
abstraction , 8 , 1
abuse , 1 , 2
abuse , 6 , 3
accident , 44 , 0
accroachment , 0 , 2
acquire , 39 , 2
acquisition , 46 , 2
acre , 3 , 2
administer , 32 , 0
adulterate , 0 , 0
advance , 5 , 3
agony , 0 , 0
agony , 0 , 3
altercate , 0 , 0
anasthesia , 0 , 0
ancestral , 0 , 2
anguish , 0 , 3
annoyance , 2 , 3
arbitrate , 4 , 2
arbitrator , 114 , 2
area , 45 , 2
arm , 54 , 0
arsenic , 6 , 0
assailant , 6 , 0
assassination , 0 , 0
assault , 2 , 3
assault , 28 , 0
attack , 40 , 0
aunt , 0 , 2
autopsy , 9 , 0
away , 21 , 1
bad , 1 , 3
bait , 1 , 1
bear , 12 , 3
beat , 23 , 3
betray , 0 , 3
blackmail , 0 , 0
blackmail , 0 , 1
bleed , 5 , 0
blood , 54 , 0
bomb , 34 , 0
bother , 0 , 3
boy , 0 , 3
bracelet , 2 , 1
breach , 11 , 1
breach , 12 , 2
break , 31 , 1
break-in , 0 , 1
brutal , 9 , 0
build , 39 , 2
burglar , 0 , 1
burglary , 60 , 1
burn , 87 , 3
burst , 5 , 3
captivate , 0 , 3
capturesteal , 0 , 1
car , 0 , 1
carnage , 0 , 0
cash , 20 , 1
chain , 53 , 1
cheat , 5 , 1
chemical , 18 , 0
child , 28 , 3
claim , 140 , 2
cold , 1 , 0
commit , 144 , 3
company , 18 , 2
compel , 9 , 3
compromise , 3 , 3
con , 0 , 1
conduct , 32 , 3
conflict , 17 , 2
congestion , 0 , 0
conquest , 0 , 2
constrict , 1 , 0
contact , 2 , 3
corpse , 0 , 0
corruption , 0 , 0
crime , 133 , 0
criminal , 124 , 1
cruelty , 336 , 3
cultivation , 22 , 2
cut , 32 , 0
cyanide , 11 , 0
dacoit , 0 , 1
dagger , 8 , 0
damage , 1 , 3
daughter , 0 , 2
dead , 34 , 0
death , 348 , 0
death , 689 , 3
decease , 308 , 0
decease , 414 , 3
deed , 23 , 2
demand , 379 , 3
depression , 11 , 3
destroy , 3 , 0
diamond , 0 , 1
die , 29 , 0
dignity , 8 , 3
discrimination , 3 , 3
disfigure , 1 , 0
dishonor , 0 , 3
disobey , 0 , 2
dispute , 509 , 2
disturb , 2 , 2
disturbance , 0 , 3
dowry , 644 , 3
drap , 0 , 0
drive , 16 , 3
duties , 1 , 3
electricity , 110 , 1
encroach , 6 , 2
encroachment , 5 , 2
enter , 53 , 2
entry , 5 , 2
equality , 21 , 3
execution , 2 , 0
extortion , 17 , 1
father , 4 , 2
fellony , 0 , 0
felonious , 6 , 0
felony , 6 , 0
fight , 26 , 0
filch , 0 , 1
fire , 22 , 3
firearms , 3 , 0
flout , 0 , 2
force , 7 , 2
force , 8 , 3
forcible , 27 , 1
foul , 1 , 2
fracture , 13 , 0
fraud , 3 , 1
fundamental , 28 , 3
gang , 1 , 3
gender , 17 , 3
girl , 9 , 3
gold , 84 , 1
government , 93 , 2
grab , 0 , 1
grandfather , 0 , 2
grandmother , 0 , 2
gun , 14 , 0
guntas , 0 , 2
hack , 0 , 1
hang , 1 , 0
harass , 72 , 3
harassment , 431 , 3
hate , 0 , 0
heart , 7 , 0
hell , 0 , 0
helplessness , 1 , 3
hereditary , 1 , 2
hijack , 0 , 1
hire , 6 , 0
hit , 0 , 3
hit , 25 , 0
hoax , 0 , 1
homicide , 125 , 0
housebreak , 10 , 1
human , 14 , 3
hustle , 0 , 1
illegal , 8 , 2
inability , 3 , 3
infant , 0 , 3
infringement , 0 , 2
injure , 0 , 3
injury , 102 , 0
injury , 56 , 3
intentional , 1 , 0
interfere , 7 , 2
interjection , 0 , 2
intrusion , 0 , 2
intrusion , 0 , 3
invade , 0 , 3
invasion , 0 , 2
irritation , 0 , 3
jewellery , 18 , 1
kerosene , 10 , 3
kidnap , 0 , 3
kill , 72 , 0
knife , 3 , 0
land , 661 , 2
land-reform , 0 , 2
landlord , 69 , 2
lawbreak , 0 , 2
lethal , 6 , 0
lift , 0 , 1
liquidate , 0 , 0
litigate , 4 , 2
loot , 1 , 1
machete , 0 , 0
maltreat , 15 , 3
manslaughter , 1 , 0
massacre , 0 , 0
men , 1 , 3
mental , 22 , 3
merciless , 1 , 0
misbehaviour , 0 , 3
misery , 0 , 0
miss , 8 , 1
mistreat , 0 , 3
molestation , 0 , 3
money , 11 , 1
mouth , 4 , 0
mug , 0 , 1
murder , 568 , 0
mysterious , 1 , 0
neck , 32 , 0
neighbor , 0 , 2
nose , 3 , 0
occupation , 4 , 2
occupy , 4 , 2
oppress , 0 , 3
ornament , 17 , 1
outrage , 0 , 3
overdose , 0 , 0
overrun , 0 , 2
overstep , 0 , 2
owner , 50 , 2
ownership , 56 , 2
pain , 2 , 3
pass , 55 , 2
perjury , 0 , 2
perpetrate , 8 , 0
physical , 13 , 3
pierce , 5 , 0
pillow , 0 , 0
pills , 0 , 0
piracy , 0 , 1
pistol , 4 , 0
place , 91 , 3
plagiarism , 0 , 1
platinum , 0 , 1
plunder , 0 , 1
poach , 0 , 1
poach , 0 , 2
poison , 112 , 0
possession , 131 , 2
pressure , 2 , 3
prohibition , 42 , 3
property , 116 , 2
property , 98 , 1
provocation , 0 , 3
pyschic , 0 , 0
quarrel , 27 , 0
racket , 0 , 1
raid , 0 , 2
rape , 1 , 3
restraint , 10 , 1
restrict , 10 , 2
revenue , 163 , 2
revolver , 0 , 0
rifle , 4 , 0
right , 71 , 3
riot , 2 , 0
rip-off , 0 , 1
rob , 4 , 1
robbery , 22 , 1
rope , 5 , 0
ruin , 0 , 3
ruthless , 1 , 0
sabotage , 0 , 2
sale , 23 , 2
scooter , 8 , 1
scream , 1 , 3
seduce , 0 , 3
seizure , 0 , 2
settlement , 48 , 2
severe , 1 , 3
sexual , 62 , 3
shame , 0 , 3
sharp , 13 , 0
shoot , 17 , 0
shoplift , 0 , 1
silver , 8 , 1
slaughter , 0 , 0
slavery , 0 , 3
slay , 0 , 0
sleep , 10 , 0
smuggle , 1 , 1
snatch , 4 , 1
son , 9 , 2
spoil , 0 , 3
stab , 2 , 0
stave , 11 , 3
